"","AIC","BIC","ll","LRT","p"
"Three-level model",175.631290518729,181.812619550368,-84.8156452593643,NA,NA
"Within-studies variance constrained",173.631290518729,177.752176539821,-84.8156452593643,0,1
"Between-studies variance constrained",173.631290518729,177.752176539821,-84.8156452593643,0,1
"Both variance components constrained",226.537304835182,228.597747845728,-112.268652417591,54.9060143164531,1.19484199836699e-12
