"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.743966771444406,0.0066805549645995,2088.84510502949,1.00053942214323,"[0.18, 1.37]","*"
"2","hed",-0.15401174381948,0.00848925641864256,2919.7659671964,0.999546441825322,"[-1.24, 0.71]",""
"3","hed2",-0.253744724632048,0.0165031670994154,2536.62654444266,1.00164978501428,"[-2.44, 1.15]",""
"4","anxiety_testASR.hed",0.157075884869765,0.0201330764248667,3089.22773562769,1.00035963400614,"[-2.14, 2.79]",""
"5","anxiety_testdefense.hed",-12.5169925163071,6.27455147897477,3096.10570158201,1.00050482838495,"[-767.67, 775.02]",""
"6","anxiety_testRCLB.hed",3.72872243147412,0.0290134252666238,2480.28578119158,0.999922513385876,"[0.55, 6.65]","*"
"7","anxiety_testASR.hed2",0.265659140010116,0.0183675260602529,2732.35127487887,1.00009354804371,"[-1.45, 2.72]",""
"8","anxiety_testdefense.hed2",-3730.12997040076,1175.18561943097,3271.23179066541,1.00029129221549,"[-155625.37, 132453.63]",""
"9","anxiety_testRCLB.hed2",0.25473432707077,0.0202562686589398,2923.02575387706,1.00002000113548,"[-1.94, 2.91]",""
"10","anxiety_testASR",-0.0652032049166083,0.00625657775237656,3154.91452578104,1.00046742169644,"[-0.96, 0.63]",""
"11","anxiety_testdefense",-0.00412775447064483,0.0091225185015095,2865.51165883073,0.999193473125517,"[-1.09, 1.08]",""
"12","anxiety_testRCLB",0.275058366167252,0.0106192536310155,1875.35122684028,1.00056901584466,"[-0.36, 1.42]",""
"13","tau2_w",0.488282516017958,0.00541462096207328,1662.49199113195,1.00187862630148,"[0.17, 1.02]","*"
"14","tau2_b",0.605173811241461,0.0121796542876655,1889.59631173565,1.00020231892261,"[0.06, 1.94]","*"
