"Group","Median"
"Conditionedfearexpression",0.529841965561829
"Extinctionretention",0.86302616600668
"Fear memory reconsolidation",0.964472256006721
"FearduringCSreexposure",0.709383112147287
"Withinsessionfearextinction",0.465041921629454
