"","AIC","BIC","ll","LRT","p"
"Three-level model",19.0628659620414,19.9706212410235,-6.53143298102067,NA,NA
"Within-studies variance constrained",17.0628659604793,17.6680361464674,-6.53143298023964,0,1
"Between-studies variance constrained",17.222646949541,17.8278171355291,-6.61132347477049,0.159780987499632,0.689358236285472
"Both variance components constrained",15.2229512603396,15.5255363533336,-6.6114756301698,0.160085298298254,0.923076977099456
