"","AIC","BIC","ll","LRT","p"
"Three-level model",114.064450227154,119.484437696465,-54.0322251135769,NA,NA
"Within-studies variance constrained",126.697197653893,130.310522633434,-61.3485988269466,14.6327474267394,0.000130624900887434
"Between-studies variance constrained",114.513923291932,118.127248271473,-55.2569616459661,2.44947306477837,0.117564327823896
"Both variance components constrained",148.004358134024,149.811020623794,-73.0021790670118,37.9399079068699,5.77369284448117e-09
