"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.668729696950121,0.00717828129280196,1673.355270161,1.00061639707028,"[0.01, 1.21]","*"
"2","hed",-0.0550614084224781,0.00657242730685476,1382.4603286271,1.00330830395559,"[-0.65, 0.42]",""
"3","hed2",-0.143050901470524,0.00893998872907079,1865.47366297707,1.00236316817317,"[-1.16, 0.53]",""
"4","anxiety_testNSF.hed",-0.157343888533229,0.0120064882482005,2492.39776599375,1.0000136927222,"[-1.55, 1.13]",""
"5","anxiety_testRCLB.hed",0.691815207067717,0.030849698776216,785.448968047363,1.00353613770578,"[-0.47, 2.70]",""
"6","anxiety_testNSF.hed2",-0.439311538284912,0.0141879255472264,2286.96965061645,1.00223804285738,"[-2.20, 0.46]",""
"7","anxiety_testRCLB.hed2",-0.0604752668937321,0.0567718643010884,2064.85490409355,1.00417293822859,"[-6.12, 5.50]",""
"8","anxiety_testNSF",-0.00908080531325362,0.00268752510830862,3154.55779903607,1.00111042434311,"[-0.37, 0.30]",""
"9","anxiety_testRCLB",0.0317373465775724,0.00439347218771613,3097.9777581649,1.00169680621548,"[-0.42, 0.65]",""
"10","tau2_w",0.178990980558237,0.00442988419320616,925.538622501517,1.00428431907461,"[0.00, 0.51]","*"
"11","tau2_b",0.423401077216283,0.0166244754322661,1393.44561878487,1.00269349557582,"[0.00, 1.95]","*"
