"","AIC","BIC","ll","LRT","p"
"Three-level model",27.3130866632784,28.7678066126424,-10.6565433316392,NA,NA
"Within-studies variance constrained",25.3130866606964,26.2828999602724,-10.6565433303482,0,1
"Between-studies variance constrained",27.0584700741729,28.0282833737489,-11.5292350370865,1.74538341089452,0.186458156085573
"Both variance components constrained",25.8643819097611,26.3492885595491,-11.9321909548806,2.55129524648274,0.27925006081827
