"","AIC","BIC","ll","LRT","p"
"Three-level model",140.621754066922,145.834762921772,-67.3108770334611,NA,NA
"Within-studies variance constrained",146.178256622759,149.653595859326,-71.0891283113796,7.55650255583703,0.00597939222513102
"Between-studies variance constrained",165.280618116441,168.755957353008,-80.6403090582205,26.6588640495189,2.42734643237064e-07
"Both variance components constrained",200.615939999576,202.353609617859,-99.3079699997878,63.9941859326533,1.27010342681297e-14
