"","AIC","BIC","ll","LRT","p"
"Three-level model",94.618415530042,99.3689723454103,-44.309207765021,NA,NA
"Within-studies variance constrained",100.067493807576,103.234531684488,-48.033746903788,7.44907827753393,0.00634689427615474
"Between-studies variance constrained",99.9729702173669,103.140008094279,-47.9864851086835,7.35455468732494,0.00668930759128559
"Both variance components constrained",125.264392476046,126.847911414502,-61.6321962380228,34.6459769460035,2.9972412161071e-08
