"","AIC","BIC","ll","LRT","p"
"Three-level model",24.2862841056576,26.2034560945034,-9.1431420528288,NA,NA
"Within-studies variance constrained",24.4407244835117,25.7188391427422,-10.2203622417559,2.15444037785412,0.142158230028695
"Between-studies variance constrained",22.2986391670091,23.5767538262396,-9.14931958350455,0.0123550613514922,0.911494764545017
"Both variance components constrained",23.3653161436249,24.0043734732401,-10.6826580718124,3.07903203796726,0.214484882922448
