"","AIC","BIC","ll","LRT","p"
"Three-level model",81.476018794577,86.4667037329659,-37.7380093972885,NA,NA
"Within-studies variance constrained",87.2220742895629,90.5491975818222,-41.6110371447815,7.74605549498597,0.00538299888406616
"Between-studies variance constrained",79.4995521877358,82.8266754799951,-37.7497760938679,0.0235333931588144,0.878078133309079
"Both variance components constrained",94.7038304491001,96.3673920952298,-46.3519152245501,17.2278116545232,0.000181563368534705
