"","AIC","BIC","ll","LRT","p"
"Three-level model",327.704557695365,335.579476135217,-160.852278847682,NA,NA
"Within-studies variance constrained",368.120033978553,373.369979605122,-182.060016989277,42.4154762831885,7.38037235165458e-11
"Between-studies variance constrained",333.396403525142,338.646349151711,-164.698201762571,7.69184582977766,0.0055470866595072
"Both variance components constrained",525.132993654715,527.757966467999,-261.566496827358,201.428435959351,1.82125552483477e-44
