"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",121.014069169227,0.396787351921931,"",NA,"[-158.89, 400.92]","AM404conditioned"
"2","pubyear",-0.060268730649894,0.396300173873833,"",3.16277768182696,"[-0.20, 0.08]","AM404conditioned"
"3","hed2",0.626018232813862,0.374435563654559,"",1.30860397360937,"[-0.76, 2.01]","AM404conditioned"
"4","anxiety_testContextual fear conditioning",0.427124498468787,0.54460359259323,"",1.34626664042052,"[-0.95, 1.81]","AM404conditioned"
"5","anxiety_testInhibitory avoidance task;outcomeRetention.of.safety.learning",1.00596523710659,0.170079121828094,"",2.74186074901132,"[-0.43, 2.44]","AM404conditioned"
"6","outcomeConditioned fear expression",-0.732056645530737,0.371788240845274,"",1.3912749179282,"[-2.34, 0.87]","AM404conditioned"
"7","outcomeWithin-session fear extinction",0.881044269130223,0.0199654930782207,"*",1.21613062095406,"[0.14, 1.62]","AM404conditioned"
"8","Tau2b",0.182631717607206,NA,"",NA,"[0.00, 6.41]","AM404conditioned"
"9","Tau2w",7.17120924419956e-10,NA,"",NA,"[0.00, 0.80]","AM404conditioned"
