"","AIC","BIC","ll","LRT","p"
"Three-level model",86.1943744591174,90.2962619490768,-40.0971872295587,NA,NA
"Within-studies variance constrained",114.794924536943,117.529516196916,-55.3974622684714,30.6005500778253,3.17003856004882e-08
"Between-studies variance constrained",87.4521667887384,90.1867584487114,-41.7260833943692,3.257792329621,0.0710847684248695
"Both variance components constrained",146.192323258899,147.559619088885,-72.0961616294495,63.9979487997816,1.26771605813784e-14
