"","AIC","BIC","ll","LRT","p"
"Three-level model",118.551217128857,124.462092869514,-56.2756085644287,NA,NA
"Within-studies variance constrained",161.984623622227,165.925207449331,-78.9923118111135,45.4334064933697,1.57917772755407e-11
"Between-studies variance constrained",116.551217115848,120.491800942952,-56.2756085579239,0,1
"Both variance components constrained",214.664655472984,216.634947386536,-106.332327736492,100.113438344127,1.82239737591868e-22
