"","AIC","BIC","ll","LRT","p"
"Three-level model",466.514200716514,476.555523308666,-230.257100358257,NA,NA
"Within-studies variance constrained",521.642231281695,528.33644634313,-258.821115640847,57.1280305651811,4.08343974206125e-14
"Between-studies variance constrained",470.99537868243,477.689593743865,-233.497689341215,6.48117796591595,0.010902270773701
"Both variance components constrained",599.646435901235,602.993543431953,-298.823217950618,137.132235184722,1.66768293253716e-30
