"","AIC","BIC","ll","LRT","p"
"Three-level model",412.928175043035,421.290650271381,-203.464087521518,NA,NA
"Within-studies variance constrained",549.390339366394,554.965322851958,-272.695169683197,138.462164323359,5.77451746960717e-32
"Between-studies variance constrained",415.544545260825,421.119528746389,-205.772272630413,4.61637021779012,0.0316681848406783
"Both variance components constrained",769.455692341631,772.243184084413,-383.727846170816,360.527517298596,5.15756050437159e-79
