"","AIC","BIC","ll","LRT","p"
"Three-level model",569.333965261252,579.608815313696,-281.666982630626,NA,NA
"Within-studies variance constrained",606.934130697231,613.784030732194,-301.467065348616,39.6001654359793,3.11656896747552e-10
"Between-studies variance constrained",609.44679017302,616.296690207983,-302.72339508651,42.1128249117681,8.61562997906911e-11
"Both variance components constrained",760.374920359782,763.799870377263,-379.187460179891,195.04095509853,4.4401202059017e-43
